#{"t_start": 1695647713.2101433, "env_id": null}
r,l,t
119.951641,11,98029.816983
123.952315,11,98094.383538
122.472266,6,98132.354602
121.998056,6,98168.165561
95.207073,8,98214.749583
121.374985,11,98279.660512
89.836819,7,98322.782286
81.563955,7,98368.680284
56.590973,1,98375.74971
117.931845,11,98440.451709
124.937247,11,98505.113034
125.531302,11,98571.396589
123.040389,11,98637.779212
89.892417,8,98685.735599
89.830031,7,98728.112265
123.945998,11,98792.645373
123.931479,11,98858.544892
106.168785,5,98888.813083
125.246534,11,98953.779098
160.679997,9,99007.951385
116.539202,10,99067.709749
122.293482,11,99132.414879
121.598165,11,99197.580338
81.54005,3,99217.294832
124.442905,11,99282.726262
147.749566,8,99330.491534
134.328856,7,99372.677756
100.652576,9,99427.882835
121.522017,11,99491.558268
122.884801,11,99558.658748
115.143583,9,99613.341968
90.134822,7,99655.455557
83.939785,8,99703.972812
122.149177,11,99768.396072
134.562875,11,99833.72226
122.229121,11,99897.758276
117.306891,11,99961.962092
96.855138,4,99987.41165
103.347013,8,100035.055757
119.598721,11,100100.925892
124.804631,11,100166.440622
120.585694,11,100230.820851
109.765307,5,100260.958137
126.367846,11,100326.526289
132.339217,7,100368.203425
132.103863,7,100409.669786
123.494635,11,100474.560048
126.823615,11,100538.47603
124.928719,11,100605.169999
126.849576,11,100669.641514
115.108518,11,100733.585251
123.657591,11,100797.41099
121.807527,11,100862.384182
118.993112,11,100926.450861
123.769981,11,100991.098975
121.084199,11,101055.251239
55.395802,6,101091.937374
44.319034,5,101122.034522
57.996602,1,101130.024626
122.558276,11,101195.631835
122.673857,11,101260.647474
123.918196,11,101325.949024
117.126168,11,101390.815921
102.016241,9,101444.017787
126.101815,11,101509.270147
94.819964,8,101558.182
122.311322,6,101595.331117
123.767998,11,101663.614384
83.883855,7,101707.329549
123.626842,11,101771.745351
122.400755,11,101836.599074
90.398663,7,101877.680805
122.302542,11,101942.796724
98.379998,10,102002.929983
121.692203,11,102069.061924
143.02266,8,102119.043705
120.86132,11,102184.30936
105.532527,10,102243.709412
126.252928,11,102306.532993
126.293464,11,102372.22851
123.714175,11,102439.427475
77.717067,3,102459.04332
126.841359,11,102522.742845
125.240707,11,102588.041785
139.14889,8,102636.043068
114.042912,10,102695.740502
118.29154,11,102758.272697
102.724605,8,102805.578181
126.536633,11,102870.090597
125.066003,11,102935.542156
118.427685,11,103001.678267
126.167831,11,103067.787631
122.583472,11,103132.78929
146.003058,8,103181.710078
124.032611,11,103246.60931
119.909849,11,103312.028708
126.920709,11,103377.040542
58.445335,6,103413.907431
172.858166,10,103473.602333
122.152508,11,103539.454013
124.729248,11,103605.00912
115.456735,11,103670.608822
83.646467,3,103690.035787
115.660236,11,103755.252624
118.789236,11,103820.68441
120.460661,11,103886.200583
113.825035,11,103951.367193
124.688972,11,104017.435698
125.992454,11,104083.246065
173.006425,10,104142.665954
124.442862,11,104208.715476
119.905114,11,104274.316654
123.877059,11,104340.25084
87.466056,8,104388.381381
123.003696,11,104453.197894
126.942951,11,104518.177807
150.49222,9,104571.763347
113.554438,11,104637.336972
118.500437,11,104703.501491
122.193791,11,104770.562939
131.336346,7,104812.166572
124.746776,11,104878.243664
85.316471,7,104919.950548
119.542902,11,104986.48825
122.615119,11,105053.675349
125.347973,11,105118.914493
96.272948,4,105144.19248
120.366416,7,105187.143514
57.535781,1,105194.927976
126.324836,11,105259.976706
119.488147,11,105324.943434
124.283265,11,105391.932505
124.166763,11,105457.542562
124.326506,11,105523.711
122.680073,11,105589.56489
147.308999,8,105636.409973
124.235193,11,105700.948224
124.144802,11,105764.543866
119.148485,11,105830.180563
77.52081,6,105867.012565
123.792289,11,105931.587661
122.726084,11,105996.855285
127.068921,11,106062.490145
96.113593,4,106087.538102
123.905747,11,106153.678745
120.846982,11,106218.656142
120.036386,11,106282.922712
126.179598,11,106349.286553
172.162441,10,106408.702183
123.102772,11,106474.244821
122.547989,11,106538.861374
125.160268,11,106602.38693
90.338885,7,106644.075388
96.90943,4,106669.468968
124.254683,11,106733.167489
102.01361,9,106787.352095
124.07731,11,106852.352025
121.636864,11,106917.534207
115.488778,11,106982.900566
96.51773,4,107007.581584
126.451798,11,107072.849737
123.337407,11,107138.604388
125.163588,11,107202.35144
122.59094,11,107266.538132
124.42902,11,107330.915361
108.507531,10,107391.713981
160.484436,9,107444.333581
124.079978,11,107510.730621
116.92427,11,107576.964571
124.373719,11,107641.384127
134.236883,7,107683.219775
88.05936,8,107730.96766
121.378235,11,107795.690494
124.384799,11,107862.446968
125.561882,11,107926.301291
122.162621,11,107990.045016
122.580091,11,108054.678724
123.090007,11,108121.460957
65.522558,7,108164.117515
99.529606,8,108212.115417
116.279156,11,108277.309438
121.047533,11,108342.926919
120.162006,11,108408.242481
123.333886,11,108474.432445
126.356424,11,108539.991509
111.242775,11,108605.264146
122.326471,11,108670.960786
113.620698,11,108736.291804
61.245,6,108771.180086
123.644699,11,108836.523573
126.35108,11,108900.589542
120.506675,11,108965.456628
115.760453,11,109029.640873
125.28715,11,109094.708003
77.510166,6,109130.504816
124.127567,11,109196.45874
125.396072,11,109263.55986
126.099468,11,109328.360876
145.553981,8,109376.56038
103.442549,11,109440.77856
106.419591,5,109471.104025
124.900777,11,109536.759749
124.008779,11,109602.926378
120.336819,11,109669.857441
82.930911,3,109689.338083
123.114711,11,109755.36956
108.808973,5,109786.290222
135.094712,7,109827.333625
115.051588,11,109892.960732
123.737709,11,109958.561711
124.925307,11,110024.719293
125.119706,11,110092.484227
133.504385,7,110136.587608
126.433829,11,110201.866513
121.547468,11,110267.842975
134.469875,7,110310.804515
123.810678,11,110376.791593
125.162203,11,110444.180183
124.7588,11,110512.309796
125.705061,11,110577.898318
147.821236,8,110627.067675
124.087901,11,110692.212208
120.454311,11,110758.362947
124.139898,11,110822.702488
83.530642,3,110841.684832
121.2665,11,110907.446359
116.639136,11,110974.044818
120.694056,11,111039.028188
125.120377,11,111104.56123
147.090092,8,111152.477353
126.281346,11,111218.344144
123.121233,11,111284.133809
83.048878,3,111302.879929
116.803331,11,111369.543406
119.538645,11,111436.593623
69.775764,2,111450.226904
88.152697,7,111491.947071
123.738908,11,111556.109103
137.789037,11,111621.542935
124.937797,11,111687.725577
111.012963,11,111752.824966
109.786606,10,111815.289241
122.641288,11,111882.663879
124.182031,11,111947.256866
